Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
VTM1984WRNO,2019-10-21-15-44-17,1,1,0.653637847299647,right,probe,biased-switch,-1,10,right,right,0.763
VTM1984WRNO,2019-10-21-15-44-17,1,2,0.6094017299415229,right,both,biased-switch,104,10,right,left,0.286
VTM1984WRNO,2019-10-21-15-44-17,1,3,0.6798779012018046,right,probe,biased-switch,-1,-20,left,left,0.362
VTM1984WRNO,2019-10-21-15-44-17,1,4,0.6047524949200391,right,both,biased-switch,91,-20,left,left,0.271
VTM1984WRNO,2019-10-21-15-44-17,1,5,0.6991217034900663,right,probe,biased-switch,-1,0,left,left,0.246
VTM1984WRNO,2019-10-21-15-44-17,1,6,0.6881633074273603,right,both,biased-switch,96,0,left,left,0.386
VTM1984WRNO,2019-10-21-15-44-17,1,7,0.6583931201774594,left,probe,biased-switch,-1,5,left,left,0.288
VTM1984WRNO,2019-10-21-15-44-17,1,8,0.6517799498550414,left,both,biased-switch,91,5,left,right,0.297
VTM1984WRNO,2019-10-21-15-44-17,1,9,0.5867710024938273,right,probe,ambiguous-switch,-1,0,left,left,0.279
VTM1984WRNO,2019-10-21-15-44-17,1,10,0.6459654642091843,right,both,ambiguous-switch,98,0,left,left,0.314
VTM1984WRNO,2019-10-21-15-44-17,1,11,0.536807814249599,right,probe,biased-switch,-1,-10,left,left,0.31
VTM1984WRNO,2019-10-21-15-44-17,1,12,0.6063229188253394,right,both,biased-switch,91,-10,left,left,0.243
VTM1984WRNO,2019-10-21-15-44-17,1,13,0.6536189772566883,left,probe,ambiguous-switch,-1,-20,left,left,0.256
VTM1984WRNO,2019-10-21-15-44-17,1,14,0.5291229835559713,left,both,ambiguous-switch,96,-20,left,left,0.212
VTM1984WRNO,2019-10-21-15-44-17,1,15,0.6216038606697475,right,probe,ambiguous-switch,-1,-5,left,left,0.232
VTM1984WRNO,2019-10-21-15-44-17,1,16,0.5642693803260457,right,both,ambiguous-switch,96,-5,left,left,0.221
VTM1984WRNO,2019-10-21-15-44-17,1,17,0.5231464178512071,left,probe,ambiguous-switch,-1,-30,left,left,0.246
VTM1984WRNO,2019-10-21-15-44-17,1,18,0.5819734891066117,left,both,ambiguous-switch,106,-30,left,left,0.254
VTM1984WRNO,2019-10-21-15-44-17,1,19,0.5985912835487575,left,probe,ambiguous-switch,-1,5,left,left,0.252
VTM1984WRNO,2019-10-21-15-44-17,1,20,0.5364543296195861,left,both,ambiguous-switch,108,5,left,left,0.242
VTM1984WRNO,2019-10-21-15-44-17,1,21,0.5297448999182912,right,probe,biased-switch,-1,20,left,left,0.216
VTM1984WRNO,2019-10-21-15-44-17,1,22,0.5287400748783295,right,both,biased-switch,105,20,left,right,0.404
VTM1984WRNO,2019-10-21-15-44-17,1,23,0.6467195754042862,left,probe,ambiguous-switch,-1,10,left,left,0.315
VTM1984WRNO,2019-10-21-15-44-17,1,24,0.6253847379103045,left,both,ambiguous-switch,106,10,left,right,0.23
VTM1984WRNO,2019-10-21-15-44-17,1,25,0.6512918382114544,left,probe,ambiguous-switch,-1,40,right,right,0.247
VTM1984WRNO,2019-10-21-15-44-17,1,26,0.5713487996629976,left,both,ambiguous-switch,97,40,right,right,0.309
VTM1984WRNO,2019-10-21-15-44-17,1,27,0.6277031225452907,left,probe,biased-switch,-1,-5,right,right,0.27
VTM1984WRNO,2019-10-21-15-44-17,1,28,0.5098954312148838,left,both,biased-switch,104,-5,right,left,0.461
VTM1984WRNO,2019-10-21-15-44-17,1,29,0.6243684892180853,left,probe,ambiguous-switch,-1,-10,left,left,0.332
VTM1984WRNO,2019-10-21-15-44-17,1,30,0.5966738481410988,left,both,ambiguous-switch,99,-10,left,left,0.368
VTM1984WRNO,2019-10-21-15-44-17,1,31,0.5462554974431668,right,probe,biased-switch,-1,40,left,left,0.316
VTM1984WRNO,2019-10-21-15-44-17,1,32,0.5230158894881959,right,both,biased-switch,91,40,left,left,0.402
VTM1984WRNO,2019-10-21-15-44-17,1,33,0.6941590080330517,left,probe,ambiguous-switch,-1,20,left,left,0.321
VTM1984WRNO,2019-10-21-15-44-17,1,34,0.6733087382214431,left,both,ambiguous-switch,105,20,left,left,0.292
VTM1984WRNO,2019-10-21-15-44-17,1,35,0.6031220994132894,right,probe,biased-switch,-1,-30,left,left,0.259
VTM1984WRNO,2019-10-21-15-44-17,1,36,0.5027372454353097,right,both,biased-switch,109,-30,left,left,0.336
VTM1984WRNO,2019-10-21-15-44-17,1,37,0.5760715995189217,left,probe,ambiguous-switch,-1,30,left,left,0.26
VTM1984WRNO,2019-10-21-15-44-17,1,38,0.68841798136438,left,both,ambiguous-switch,107,30,left,left,0.324
VTM1984WRNO,2019-10-21-15-44-17,1,39,0.6346655232564138,right,probe,biased-switch,-1,30,left,left,0.283
VTM1984WRNO,2019-10-21-15-44-17,1,40,0.5872753012602796,right,both,biased-switch,108,30,left,left,0.255
VTM1984WRNO,2019-10-21-15-44-17,1,41,0.6880632805794068,left,probe,biased-switch,-1,10,left,left,0.275
VTM1984WRNO,2019-10-21-15-44-17,1,42,0.6579825893892426,left,both,biased-switch,109,10,left,right,0.291
VTM1984WRNO,2019-10-21-15-44-17,1,43,0.6846298345069144,left,probe,biased-switch,-1,-20,right,right,0.27
VTM1984WRNO,2019-10-21-15-44-17,1,44,0.6497025945590355,left,both,biased-switch,101,-20,right,right,0.238
VTM1984WRNO,2019-10-21-15-44-17,1,45,0.696828357665417,right,probe,biased-switch,-1,0,left,left,0.252
VTM1984WRNO,2019-10-21-15-44-17,1,46,0.537640961649001,right,both,biased-switch,101,0,left,left,0.235
VTM1984WRNO,2019-10-21-15-44-17,1,47,0.6052079230092832,right,probe,biased-switch,-1,5,left,left,0.235
VTM1984WRNO,2019-10-21-15-44-17,1,48,0.5466391150792792,right,both,biased-switch,102,5,left,right,0.252
VTM1984WRNO,2019-10-21-15-44-17,1,49,0.5603498891663532,left,probe,ambiguous-switch,-1,0,right,right,0.268
VTM1984WRNO,2019-10-21-15-44-17,1,50,0.5540795385285084,left,both,ambiguous-switch,105,0,right,right,0.284
VTM1984WRNO,2019-10-21-15-44-17,1,51,0.6640590318907749,right,probe,biased-switch,-1,-10,right,right,0.259
VTM1984WRNO,2019-10-21-15-44-17,1,52,0.6463684439950272,right,both,biased-switch,91,-10,right,left,0.269
VTM1984WRNO,2019-10-21-15-44-17,1,53,0.6037273140000688,left,probe,ambiguous-switch,-1,-20,right,right,0.26
VTM1984WRNO,2019-10-21-15-44-17,1,54,0.6216482563051264,left,both,ambiguous-switch,90,-20,right,right,0.272
VTM1984WRNO,2019-10-21-15-44-17,1,55,0.6229405529175673,left,probe,ambiguous-switch,-1,-5,right,right,0.253
VTM1984WRNO,2019-10-21-15-44-17,1,56,0.5820417898071614,left,both,ambiguous-switch,99,-5,right,right,0.224
VTM1984WRNO,2019-10-21-15-44-17,1,57,0.6237022445884692,left,probe,ambiguous-switch,-1,-30,right,right,0.253
VTM1984WRNO,2019-10-21-15-44-17,1,58,0.6985640074839332,left,both,ambiguous-switch,98,-30,right,right,0.265
VTM1984WRNO,2019-10-21-15-44-17,1,59,0.6703251358541391,right,probe,ambiguous-switch,-1,5,left,left,0.269
VTM1984WRNO,2019-10-21-15-44-17,1,60,0.623810602299997,right,both,ambiguous-switch,95,5,left,right,0.251
VTM1984WRNO,2019-10-21-15-44-17,1,61,0.5626164666554838,left,probe,biased-switch,-1,20,right,right,0.338
