Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
MHN1998MRNO,2019-10-04-11-00-26,1,1,0.5475475316590502,left,probe,ambiguous-switch,-1,-10,left,left,0.402
MHN1998MRNO,2019-10-04-11-00-26,1,2,0.5017281724917205,left,both,ambiguous-switch,101,-10,left,right,0.41
MHN1998MRNO,2019-10-04-11-00-26,1,3,0.5850173463206442,left,probe,ambiguous-switch,-1,30,right,right,0.305
MHN1998MRNO,2019-10-04-11-00-26,1,4,0.5524335908969645,left,both,ambiguous-switch,93,30,right,right,0.4
MHN1998MRNO,2019-10-04-11-00-26,1,5,0.5089965368001523,left,probe,ambiguous-switch,-1,5,right,right,0.312
MHN1998MRNO,2019-10-04-11-00-26,1,6,0.546822919434652,left,both,ambiguous-switch,109,5,right,right,0.244
MHN1998MRNO,2019-10-04-11-00-26,1,7,0.6201784572274073,right,probe,biased-switch,-1,-30,right,right,0.214
MHN1998MRNO,2019-10-04-11-00-26,1,8,0.5025993073973148,right,both,biased-switch,95,-30,right,left,0.199
MHN1998MRNO,2019-10-04-11-00-26,1,9,0.50903853244356,left,probe,biased-switch,-1,5,left,left,0.158
MHN1998MRNO,2019-10-04-11-00-26,1,10,0.5181380955101308,left,both,biased-switch,92,5,left,right,0.207
MHN1998MRNO,2019-10-04-11-00-26,1,11,0.5406788534277178,left,probe,biased-switch,-1,40,right,right,0.168
MHN1998MRNO,2019-10-04-11-00-26,1,12,0.6198075066880246,left,both,biased-switch,101,40,right,right,0.224
MHN1998MRNO,2019-10-04-11-00-26,1,13,0.5409654682871552,left,probe,ambiguous-switch,-1,-20,right,right,0.222
MHN1998MRNO,2019-10-04-11-00-26,1,14,0.6159758486864964,left,both,ambiguous-switch,109,-20,right,right,0.182
MHN1998MRNO,2019-10-04-11-00-26,1,15,0.607610028535724,left,probe,ambiguous-switch,-1,20,right,right,0.172
MHN1998MRNO,2019-10-04-11-00-26,1,16,0.6923890581246568,left,both,ambiguous-switch,91,20,right,right,0.19
MHN1998MRNO,2019-10-04-11-00-26,1,17,0.641692391082691,right,probe,biased-switch,-1,-20,left,left,0.21
MHN1998MRNO,2019-10-04-11-00-26,1,18,0.502691676641826,right,both,biased-switch,104,-20,left,left,0.184
MHN1998MRNO,2019-10-04-11-00-26,1,19,0.5065179838858112,right,probe,biased-switch,-1,30,left,left,0.199
MHN1998MRNO,2019-10-04-11-00-26,1,20,0.5778330182556874,right,both,biased-switch,104,30,left,left,0.17
MHN1998MRNO,2019-10-04-11-00-26,1,21,0.5297443407873388,left,probe,ambiguous-switch,-1,-30,right,right,0.21
MHN1998MRNO,2019-10-04-11-00-26,1,22,0.5933299612704955,left,both,ambiguous-switch,92,-30,right,right,0.169
MHN1998MRNO,2019-10-04-11-00-26,1,23,0.6467501457312426,right,probe,biased-switch,-1,-5,left,left,0.195
MHN1998MRNO,2019-10-04-11-00-26,1,24,0.5620510726958163,right,both,biased-switch,92,-5,left,left,0.157
MHN1998MRNO,2019-10-04-11-00-26,1,25,0.6803030307030339,left,probe,biased-switch,-1,-10,right,right,0.238
MHN1998MRNO,2019-10-04-11-00-26,1,26,0.6908797763246721,left,both,biased-switch,106,-10,right,left,0.251
MHN1998MRNO,2019-10-04-11-00-26,1,27,0.6687473295777063,right,probe,biased-switch,-1,0,left,left,0.359
