Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
SKL1994WRNO,2019-09-17-12-04-47,1,45,0.5831399890157791,right,probe,biased-switch,-1,10,right,right,0.174
SKL1994WRNO,2019-09-17-12-04-47,1,46,0.5686443893887178,right,both,biased-switch,106,10,right,right,0.194
SKL1994WRNO,2019-09-17-12-04-47,1,47,0.5781769833925139,right,probe,ambiguous-switch,-1,40,right,right,0.19
SKL1994WRNO,2019-09-17-12-04-47,1,48,0.5553697901287487,right,both,ambiguous-switch,101,40,right,right,0.232
SKL1994WRNO,2019-09-17-12-04-47,1,49,0.5727001006605963,right,probe,biased-switch,-1,20,right,right,0.183
SKL1994WRNO,2019-09-17-12-04-47,1,50,0.6330150631412503,right,both,biased-switch,105,20,right,right,0.219
SKL1994WRNO,2019-09-17-12-04-47,1,51,0.6215549893468804,right,probe,ambiguous-switch,-1,-10,right,right,0.235
SKL1994WRNO,2019-09-17-12-04-47,1,52,0.5475397847484895,right,both,ambiguous-switch,102,-10,right,right,0.188
SKL1994WRNO,2019-09-17-12-04-47,1,53,0.6940592645070034,left,probe,ambiguous-stable,-1,20,right,right,0.141
SKL1994WRNO,2019-09-17-12-04-47,1,54,0.5389926299382904,left,both,ambiguous-stable,101,20,left,right,0.654
SKL1994WRNO,2019-09-17-12-04-47,1,55,0.6629604631273445,right,probe,ambiguous-switch,-1,30,right,right,0.294
SKL1994WRNO,2019-09-17-12-04-47,1,56,0.5704457672350665,right,both,ambiguous-switch,97,30,right,right,0.235
SKL1994WRNO,2019-09-17-12-04-47,1,57,0.5852113383381778,right,probe,ambiguous-switch,-1,-20,right,right,0.251
SKL1994WRNO,2019-09-17-12-04-47,1,58,0.6683739648887043,right,both,ambiguous-switch,98,-20,right,right,0.203
SKL1994WRNO,2019-09-17-12-04-47,1,59,0.5144924525096566,right,probe,ambiguous-stable,-1,-30,right,right,0.182
