Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
ESN1998WRNO,2019-09-18-12-13-28,1,45,0.5042883529808673,left,probe,ambiguous-switch,-1,-30,right,right,1.403
ESN1998WRNO,2019-09-18-12-13-28,1,46,0.57234485157535,left,both,ambiguous-switch,90,-30,right,right,2.901
ESN1998WRNO,2019-09-18-12-13-28,1,47,0.6736102813645505,left,probe,ambiguous-stable,-1,10,right,right,1.718
ESN1998WRNO,2019-09-18-12-13-28,1,48,0.6988689047147447,left,both,ambiguous-stable,98,10,left,right,1.263
ESN1998WRNO,2019-09-18-12-13-28,1,49,0.6104684586755972,left,probe,biased-switch,-1,0,right,right,1.384
ESN1998WRNO,2019-09-18-12-13-28,1,50,0.6843202886120405,left,both,biased-switch,102,0,right,right,3.71
ESN1998WRNO,2019-09-18-12-13-28,1,51,0.5292864790990165,left,probe,ambiguous-switch,-1,5,right,right,0.835
ESN1998WRNO,2019-09-18-12-13-28,1,52,0.5383547867336944,left,both,ambiguous-switch,104,5,right,right,0.767
ESN1998WRNO,2019-09-18-12-13-28,1,53,0.5427264537984833,right,probe,biased-switch,-1,-5,right,right,0.775
ESN1998WRNO,2019-09-18-12-13-28,1,54,0.5788596699537635,right,both,biased-switch,105,-5,right,left,0.717
ESN1998WRNO,2019-09-18-12-13-28,1,55,0.6356758770450335,left,probe,ambiguous-switch,-1,10,right,right,1.165
ESN1998WRNO,2019-09-18-12-13-28,1,56,0.6750807333880947,left,both,ambiguous-switch,99,10,right,right,0.738
ESN1998WRNO,2019-09-18-12-13-28,1,57,0.6895806161466467,left,probe,ambiguous-stable,-1,30,right,right,1.019
ESN1998WRNO,2019-09-18-12-13-28,1,58,0.651080930404048,left,both,ambiguous-stable,97,30,left,right,0.756
ESN1998WRNO,2019-09-18-12-13-28,1,59,0.5146230236174529,left,probe,ambiguous-stable,-1,-10,right,right,0.957
ESN1998WRNO,2019-09-18-12-13-28,1,60,0.5058528799774517,left,both,ambiguous-stable,94,-10,left,right,0.564
ESN1998WRNO,2019-09-18-12-13-28,2,1,0.5379046419033724,right,probe,ambiguous-switch,-1,-10,right,right,2.263
ESN1998WRNO,2019-09-18-12-13-28,2,2,0.5644467126888344,right,both,ambiguous-switch,100,-10,right,left,0.687
ESN1998WRNO,2019-09-18-12-13-28,2,3,0.5845345713842542,right,probe,biased-switch,-1,-5,right,right,1.123
ESN1998WRNO,2019-09-18-12-13-28,2,4,0.5655048968109987,right,both,biased-switch,109,-5,right,left,0.913
ESN1998WRNO,2019-09-18-12-13-28,2,5,0.5035469471399407,right,probe,biased-switch,-1,-20,right,right,1.168
ESN1998WRNO,2019-09-18-12-13-28,2,6,0.6992372336381076,right,both,biased-switch,99,-20,right,left,0.913
ESN1998WRNO,2019-09-18-12-13-28,2,7,0.6022822290776976,left,probe,ambiguous-switch,-1,-5,right,right,0.644
ESN1998WRNO,2019-09-18-12-13-28,2,8,0.6560315759374152,left,both,ambiguous-switch,97,-5,right,right,0.514
ESN1998WRNO,2019-09-18-12-13-28,2,9,0.5229974028180954,left,probe,biased-switch,-1,30,right,right,0.559
ESN1998WRNO,2019-09-18-12-13-28,2,10,0.5073408306335337,left,both,biased-switch,93,30,right,right,0.442
ESN1998WRNO,2019-09-18-12-13-28,2,11,0.6432667520936466,right,probe,ambiguous-stable,-1,40,right,right,0.384
ESN1998WRNO,2019-09-18-12-13-28,2,12,0.5755470768330989,right,both,ambiguous-stable,93,40,left,right,0.542
ESN1998WRNO,2019-09-18-12-13-28,2,13,0.6266596775153647,right,probe,ambiguous-stable,-1,-5,right,right,0.648
ESN1998WRNO,2019-09-18-12-13-28,2,14,0.5637381267740829,right,both,ambiguous-stable,97,-5,left,right,0.275
ESN1998WRNO,2019-09-18-12-13-28,2,15,0.5871508656159008,left,probe,ambiguous-stable,-1,10,right,right,0.759
ESN1998WRNO,2019-09-18-12-13-28,2,16,0.6077965724973514,left,both,ambiguous-stable,99,10,left,right,0.508
ESN1998WRNO,2019-09-18-12-13-28,2,17,0.6151953016324009,left,probe,biased-switch,-1,0,right,right,0.601
ESN1998WRNO,2019-09-18-12-13-28,2,18,0.5079838251540684,left,both,biased-switch,97,0,right,right,0.689
