Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-11-16-14-20-37,VP121995w,1,1.20544262864,1,above,right,start,0
2018-11-16-14-20-37,VP121995w,1,1.20544262864,1,above,right,down,4.08
2018-11-16-14-20-37,VP121995w,2,1.27513659161,0.5,above,left,start,0
2018-11-16-14-20-37,VP121995w,2,1.27513659161,0.5,above,left,left,4.092
2018-11-16-14-20-37,VP121995w,3,1.33307671659,0,below,left,start,0
2018-11-16-14-20-37,VP121995w,3,1.33307671659,0,below,left,left,2.873
2018-11-16-14-20-37,VP121995w,4,1.26375267912,0.5,below,left,start,0
2018-11-16-14-20-37,VP121995w,4,1.26375267912,0.5,below,left,left,4.541
2018-11-16-14-20-37,VP121995w,5,1.4749970865,0,below,right,start,0
2018-11-16-14-20-37,VP121995w,5,1.4749970865,0,below,right,left,3.548
2018-11-16-14-20-37,VP121995w,6,1.29052076745,0.5,above,right,start,0
2018-11-16-14-20-37,VP121995w,6,1.29052076745,0.5,above,right,left,4.968
2018-11-16-14-20-37,VP121995w,6,1.29052076745,0.5,above,right,down,13.202
2018-11-16-14-20-37,VP121995w,7,1.03649671225,0.25,above,left,start,0
2018-11-16-14-20-37,VP121995w,7,1.03649671225,0.25,above,left,left,3.832
2018-11-16-14-20-37,VP121995w,8,1.37703538443,0.5,below,right,start,0
2018-11-16-14-20-37,VP121995w,8,1.37703538443,0.5,below,right,down,3.107
2018-11-16-14-20-37,VP121995w,8,1.37703538443,0.5,below,right,right,26.552
2018-11-16-14-20-37,VP121995w,8,1.37703538443,0.5,below,right,down,29.612
2018-11-16-14-20-37,VP121995w,8,1.37703538443,0.5,below,right,right,32.604
2018-11-16-14-20-37,VP121995w,8,1.37703538443,0.5,below,right,down,51.653
2018-11-16-14-20-37,VP121995w,9,1.11710568043,1,above,left,start,0
2018-11-16-14-20-37,VP121995w,9,1.11710568043,1,above,left,left,4.8
2018-11-16-14-20-37,VP121995w,9,1.11710568043,1,above,left,down,10.584
2018-11-16-14-20-37,VP121995w,9,1.11710568043,1,above,left,left,24.792
2018-11-16-14-20-37,VP121995w,9,1.11710568043,1,above,left,down,31.944
2018-11-16-14-20-37,VP121995w,9,1.11710568043,1,above,left,left,52.081
2018-11-16-14-20-37,VP121995w,9,1.11710568043,1,above,left,down,56.899
2018-11-16-14-20-37,VP121995w,10,1.07594419531,1,below,right,start,0
2018-11-16-14-20-37,VP121995w,10,1.07594419531,1,below,right,down,2.648
2018-11-16-14-20-37,VP121995w,11,1.10010905762,0.25,below,right,start,0
2018-11-16-14-20-37,VP121995w,11,1.10010905762,0.25,below,right,left,2.584
2018-11-16-14-20-37,VP121995w,12,1.15255349521,1,below,left,start,0
2018-11-16-14-20-37,VP121995w,12,1.15255349521,1,below,left,left,2.83
2018-11-16-14-20-37,VP121995w,13,1.13593547899,0,above,right,start,0
2018-11-16-14-20-37,VP121995w,13,1.13593547899,0,above,right,left,2.451
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,start,0
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,left,4.444
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,down,7.41
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,right,13.812
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,down,15.985
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,right,20.737
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,down,25.233
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,right,36.222
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,down,43.993
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,right,47.094
2018-11-16-14-20-37,VP121995w,14,1.21802214576,0.25,above,right,down,55.161
2018-11-16-14-20-37,VP121995w,15,1.22167655546,0.25,below,left,start,0
2018-11-16-14-20-37,VP121995w,15,1.22167655546,0.25,below,left,down,1.725
2018-11-16-14-20-37,VP121995w,15,1.22167655546,0.25,below,left,left,4.427
2018-11-16-14-20-37,VP121995w,15,1.22167655546,0.25,below,left,down,12.619
2018-11-16-14-20-37,VP121995w,15,1.22167655546,0.25,below,left,left,16.949
2018-11-16-14-20-37,VP121995w,15,1.22167655546,0.25,below,left,down,29.945
2018-11-16-14-20-37,VP121995w,15,1.22167655546,0.25,below,left,left,50.313
2018-11-16-14-20-37,VP121995w,16,1.49208925031,0,above,left,start,0
2018-11-16-14-20-37,VP121995w,16,1.49208925031,0,above,left,left,2.17
2018-11-16-14-20-37,VP121995w,16,1.49208925031,0,above,left,down,20.45
2018-11-16-14-20-37,VP121995w,16,1.49208925031,0,above,left,left,24.114
