Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,start,0
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,left,1.79
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,down,5.709
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,right,9.835
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,left,14.66
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,right,35.44
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,down,37.691
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,left,41.429
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,right,42.863
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,down,52.691
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,left,55.226
2018-11-15-17-26-20,VP101999w,1,1.32025028587,0.25,above,right,right,59.355
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,start,0
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,down,1.516
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,right,3.482
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,left,4.561
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,right,7.742
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,down,13.613
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,right,19.209
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,down,24.899
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,right,38.168
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,down,43.814
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,right,45.42
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,down,50.064
2018-11-15-17-26-20,VP101999w,2,1.36362124057,1,below,right,right,56.65
2018-11-15-17-26-20,VP101999w,3,1.26985496735,1,below,left,start,0
2018-11-15-17-26-20,VP101999w,3,1.26985496735,1,below,left,down,1.21
2018-11-15-17-26-20,VP101999w,3,1.26985496735,1,below,left,left,3.344
2018-11-15-17-26-20,VP101999w,3,1.26985496735,1,below,left,down,20.984
2018-11-15-17-26-20,VP101999w,3,1.26985496735,1,below,left,left,27.115
2018-11-15-17-26-20,VP101999w,3,1.26985496735,1,below,left,down,32.349
2018-11-15-17-26-20,VP101999w,3,1.26985496735,1,below,left,left,40.999
2018-11-15-17-26-20,VP101999w,3,1.26985496735,1,below,left,down,54.508
2018-11-15-17-26-20,VP101999w,4,1.11893997205,0,below,right,start,0
2018-11-15-17-26-20,VP101999w,4,1.11893997205,0,below,right,left,1.616
2018-11-15-17-26-20,VP101999w,4,1.11893997205,0,below,right,down,13.563
2018-11-15-17-26-20,VP101999w,4,1.11893997205,0,below,right,right,14.557
2018-11-15-17-26-20,VP101999w,4,1.11893997205,0,below,right,left,20.125
2018-11-15-17-26-20,VP101999w,4,1.11893997205,0,below,right,down,27.593
2018-11-15-17-26-20,VP101999w,4,1.11893997205,0,below,right,left,31.788
2018-11-15-17-26-20,VP101999w,4,1.11893997205,0,below,right,right,58.697
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,start,0
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,down,2.186
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,left,4.809
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,down,19.635
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,right,21.332
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,left,22.827
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,right,29.348
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,down,31.951
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,left,39.564
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,right,44.092
2018-11-15-17-26-20,VP101999w,5,1.49888434403,0.5,above,left,down,58.327
2018-11-15-17-26-20,VP101999w,6,1.29676892663,0.5,below,right,start,0
2018-11-15-17-26-20,VP101999w,6,1.29676892663,0.5,below,right,right,1.038
2018-11-15-17-26-20,VP101999w,6,1.29676892663,0.5,below,right,down,32.55
2018-11-15-17-26-20,VP101999w,6,1.29676892663,0.5,below,right,right,37.885
2018-11-15-17-26-20,VP101999w,7,1.36316400023,1,above,right,start,0
2018-11-15-17-26-20,VP101999w,7,1.36316400023,1,above,right,right,3.4
2018-11-15-17-26-20,VP101999w,7,1.36316400023,1,above,right,down,5.658
2018-11-15-17-26-20,VP101999w,7,1.36316400023,1,above,right,right,12.138
2018-11-15-17-26-20,VP101999w,7,1.36316400023,1,above,right,down,16.331
2018-11-15-17-26-20,VP101999w,7,1.36316400023,1,above,right,right,26.785
2018-11-15-17-26-20,VP101999w,8,1.41435993833,0,above,right,start,0
2018-11-15-17-26-20,VP101999w,8,1.41435993833,0,above,right,left,2.874
2018-11-15-17-26-20,VP101999w,8,1.41435993833,0,above,right,down,7.726
2018-11-15-17-26-20,VP101999w,8,1.41435993833,0,above,right,left,11.296
2018-11-15-17-26-20,VP101999w,9,1.35321320831,0.25,below,left,start,0
2018-11-15-17-26-20,VP101999w,9,1.35321320831,0.25,below,left,left,2.235
2018-11-15-17-26-20,VP101999w,9,1.35321320831,0.25,below,left,down,24.342
2018-11-15-17-26-20,VP101999w,9,1.35321320831,0.25,below,left,left,35.673
2018-11-15-17-26-20,VP101999w,10,1.38586965184,0.5,above,right,start,0
2018-11-15-17-26-20,VP101999w,10,1.38586965184,0.5,above,right,left,3.142
2018-11-15-17-26-20,VP101999w,10,1.38586965184,0.5,above,right,down,9.699
2018-11-15-17-26-20,VP101999w,10,1.38586965184,0.5,above,right,left,23.649
2018-11-15-17-26-20,VP101999w,10,1.38586965184,0.5,above,right,right,30.876
2018-11-15-17-26-20,VP101999w,10,1.38586965184,0.5,above,right,left,36.862
2018-11-15-17-26-20,VP101999w,10,1.38586965184,0.5,above,right,right,44.918
2018-11-15-17-26-20,VP101999w,10,1.38586965184,0.5,above,right,left,57.123
2018-11-15-17-26-20,VP101999w,11,1.22705902905,1,above,left,start,0
2018-11-15-17-26-20,VP101999w,11,1.22705902905,1,above,left,down,3.485
2018-11-15-17-26-20,VP101999w,11,1.22705902905,1,above,left,left,5.409
2018-11-15-17-26-20,VP101999w,11,1.22705902905,1,above,left,down,12.344
2018-11-15-17-26-20,VP101999w,11,1.22705902905,1,above,left,left,26.207
