Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-06-27-14-28-40,05,1,1.40535582122,1,left,left,start,0
2018-06-27-14-28-40,05,1,1.40535582122,1,left,left,left,2.309
2018-06-27-14-28-40,05,1,1.40535582122,1,left,left,right,33.321
2018-06-27-14-28-40,05,1,1.40535582122,1,left,left,up,52.801
2018-06-27-14-28-40,05,1,1.40535582122,1,left,left,left,55.562
2018-06-27-14-28-40,05,2,1.21370951296,0.5,right,left,start,0
2018-06-27-14-28-40,05,2,1.21370951296,0.5,right,left,down,1.902
2018-06-27-14-28-40,05,2,1.21370951296,0.5,right,left,right,11.282
2018-06-27-14-28-40,05,2,1.21370951296,0.5,right,left,left,27.591
2018-06-27-14-28-40,05,2,1.21370951296,0.5,right,left,right,36.905
2018-06-27-14-28-40,05,2,1.21370951296,0.5,right,left,up,53.834
2018-06-27-14-28-40,05,2,1.21370951296,0.5,right,left,right,58.495
2018-06-27-14-28-40,05,3,1.30333557391,0.25,left,right,start,0
2018-06-27-14-28-40,05,3,1.30333557391,0.25,left,right,right,1.208
2018-06-27-14-28-40,05,3,1.30333557391,0.25,left,right,left,22.214
2018-06-27-14-28-40,05,3,1.30333557391,0.25,left,right,right,48.328
2018-06-27-14-28-40,05,4,1.30547096558,0.5,left,right,start,0
2018-06-27-14-28-40,05,4,1.30547096558,0.5,left,right,right,0.829
2018-06-27-14-28-40,05,4,1.30547096558,0.5,left,right,up,9.139
2018-06-27-14-28-40,05,4,1.30547096558,0.5,left,right,left,12.408
2018-06-27-14-28-40,05,4,1.30547096558,0.5,left,right,right,48.204
2018-06-27-14-28-40,05,5,1.07376780898,0.25,left,left,start,0
2018-06-27-14-28-40,05,5,1.07376780898,0.25,left,left,left,0.747
2018-06-27-14-28-40,05,5,1.07376780898,0.25,left,left,up,45.704
2018-06-27-14-28-40,05,5,1.07376780898,0.25,left,left,right,50.522
2018-06-27-14-28-40,05,6,1.11137429269,1,right,left,start,0
2018-06-27-14-28-40,05,6,1.11137429269,1,right,left,up,1.292
2018-06-27-14-28-40,05,6,1.11137429269,1,right,left,left,2.675
2018-06-27-14-28-40,05,6,1.11137429269,1,right,left,right,42.144
2018-06-27-14-28-40,05,6,1.11137429269,1,right,left,up,52.241
2018-06-27-14-28-40,05,6,1.11137429269,1,right,left,left,54.233
2018-06-27-14-28-40,05,7,1.27855380809,0,right,left,start,0
2018-06-27-14-28-40,05,7,1.27855380809,0,right,left,left,0.92
2018-06-27-14-28-40,05,7,1.27855380809,0,right,left,right,44.953
2018-06-27-14-28-40,05,8,1.1264048103,0.25,right,right,start,0
2018-06-27-14-28-40,05,8,1.1264048103,0.25,right,right,right,0.758
2018-06-27-14-28-40,05,9,1.47573220963,0.5,left,left,start,0
2018-06-27-14-28-40,05,9,1.47573220963,0.5,left,left,right,0.614
2018-06-27-14-28-40,05,9,1.47573220963,0.5,left,left,left,24.528
2018-06-27-14-28-40,05,9,1.47573220963,0.5,left,left,right,54.476
2018-06-27-14-28-40,05,10,1.10192550558,0,left,right,start,0
2018-06-27-14-28-40,05,10,1.10192550558,0,left,right,right,0.722
2018-06-27-14-28-40,05,10,1.10192550558,0,left,right,down,32.288
2018-06-27-14-28-40,05,10,1.10192550558,0,left,right,left,34.541
2018-06-27-14-28-40,05,10,1.10192550558,0,left,right,down,41.464
2018-06-27-14-28-40,05,10,1.10192550558,0,left,right,left,43.125
2018-06-27-14-28-40,05,10,1.10192550558,0,left,right,up,46.453
2018-06-27-14-28-40,05,10,1.10192550558,0,left,right,left,48.164
2018-06-27-14-28-40,05,11,1.12813234412,1,right,right,start,0
2018-06-27-14-28-40,05,11,1.12813234412,1,right,right,down,1.433
2018-06-27-14-28-40,05,11,1.12813234412,1,right,right,right,2.957
2018-06-27-14-28-40,05,11,1.12813234412,1,right,right,down,50.609
2018-06-27-14-28-40,05,11,1.12813234412,1,right,right,left,55.703
2018-06-27-14-28-40,05,11,1.12813234412,1,right,right,right,57.188
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,start,0
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,right,0.577
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,up,5.255
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,right,9.698
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,up,12.139
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,right,13.536
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,up,15.121
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,right,17.836
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,up,21.059
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,right,23.408
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,up,25.143
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,right,29.416
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,up,31.219
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,right,34.861
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,up,45.02
2018-06-27-14-28-40,05,12,1.01689196697,1,left,right,right,59.153
2018-06-27-14-28-40,05,13,1.33680807346,0.25,right,left,start,0
2018-06-27-14-28-40,05,13,1.33680807346,0.25,right,left,up,1.31
2018-06-27-14-28-40,05,13,1.33680807346,0.25,right,left,down,3.041
2018-06-27-14-28-40,05,13,1.33680807346,0.25,right,left,left,4.156
2018-06-27-14-28-40,05,14,1.49763497546,0.5,right,right,start,0
2018-06-27-14-28-40,05,14,1.49763497546,0.5,right,right,left,0.73
2018-06-27-14-28-40,05,14,1.49763497546,0.5,right,right,down,2.19
2018-06-27-14-28-40,05,14,1.49763497546,0.5,right,right,left,11.014
2018-06-27-14-28-40,05,14,1.49763497546,0.5,right,right,right,33.704
2018-06-27-14-28-40,05,15,1.24039921219,0,right,right,start,0
2018-06-27-14-28-40,05,15,1.24039921219,0,right,right,right,0.831
2018-06-27-14-28-40,05,15,1.24039921219,0,right,right,left,29.043
2018-06-27-14-28-40,05,15,1.24039921219,0,right,right,down,39.773
2018-06-27-14-28-40,05,15,1.24039921219,0,right,right,left,41.539
2018-06-27-14-28-40,05,15,1.24039921219,0,right,right,right,51.583
2018-06-27-14-28-40,05,16,1.23588920918,0,left,left,start,0
2018-06-27-14-28-40,05,16,1.23588920918,0,left,left,right,0.651
2018-06-27-14-28-40,05,16,1.23588920918,0,left,left,up,11.567
2018-06-27-14-28-40,05,16,1.23588920918,0,left,left,right,12.807
