Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-11-26-13-08-10,VP111993w,1,1.07082137268,0,right,left,start,0
2018-11-26-13-08-10,VP111993w,1,1.07082137268,0,right,left,left,1.678
2018-11-26-13-08-10,VP111993w,1,1.07082137268,0,right,left,right,12.573
2018-11-26-13-08-10,VP111993w,1,1.07082137268,0,right,left,left,30.713
2018-11-26-13-08-10,VP111993w,1,1.07082137268,0,right,left,right,51.964
2018-11-26-13-08-10,VP111993w,2,1.20975909506,0.5,right,left,start,0
2018-11-26-13-08-10,VP111993w,2,1.20975909506,0.5,right,left,up,2.146
2018-11-26-13-08-10,VP111993w,2,1.20975909506,0.5,right,left,left,11.171
2018-11-26-13-08-10,VP111993w,2,1.20975909506,0.5,right,left,up,36.683
2018-11-26-13-08-10,VP111993w,2,1.20975909506,0.5,right,left,right,46.427
2018-11-26-13-08-10,VP111993w,2,1.20975909506,0.5,right,left,left,49.493
2018-11-26-13-08-10,VP111993w,2,1.20975909506,0.5,right,left,up,52.589
2018-11-26-13-08-10,VP111993w,2,1.20975909506,0.5,right,left,left,54.51
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,start,0
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,up,1.934
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,right,3.436
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,left,8.477
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,right,11.187
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,left,41.343
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,right,43.557
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,left,51.641
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,right,54.202
2018-11-26-13-08-10,VP111993w,3,1.04348927788,0,left,right,left,57.466
2018-11-26-13-08-10,VP111993w,4,1.18442971514,1,right,left,start,0
2018-11-26-13-08-10,VP111993w,4,1.18442971514,1,right,left,up,2.105
2018-11-26-13-08-10,VP111993w,4,1.18442971514,1,right,left,left,4.725
2018-11-26-13-08-10,VP111993w,4,1.18442971514,1,right,left,up,7.686
