Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-11-05-12-06-27,VP698w,1,1.00117121036,0.5,below,right,start,0
2018-11-05-12-06-27,VP698w,1,1.00117121036,0.5,below,right,down,4.353
2018-11-05-12-06-27,VP698w,1,1.00117121036,0.5,below,right,left,27.704
2018-11-05-12-06-27,VP698w,1,1.00117121036,0.5,below,right,right,38.782
2018-11-05-12-06-27,VP698w,1,1.00117121036,0.5,below,right,down,42.461
2018-11-05-12-06-27,VP698w,1,1.00117121036,0.5,below,right,left,53.911
2018-11-05-12-06-27,VP698w,2,1.18276091378,1,above,left,start,0
2018-11-05-12-06-27,VP698w,2,1.18276091378,1,above,left,down,5.106
2018-11-05-12-06-27,VP698w,2,1.18276091378,1,above,left,left,8.846
2018-11-05-12-06-27,VP698w,2,1.18276091378,1,above,left,down,11.955
2018-11-05-12-06-27,VP698w,2,1.18276091378,1,above,left,left,14.571
2018-11-05-12-06-27,VP698w,2,1.18276091378,1,above,left,down,21.667
2018-11-05-12-06-27,VP698w,2,1.18276091378,1,above,left,left,24.482
2018-11-05-12-06-27,VP698w,2,1.18276091378,1,above,left,down,30.882
2018-11-05-12-06-27,VP698w,2,1.18276091378,1,above,left,left,37.373
2018-11-05-12-06-27,VP698w,3,1.42536657888,0,below,left,start,0
2018-11-05-12-06-27,VP698w,3,1.42536657888,0,below,left,left,2.12
2018-11-05-12-06-27,VP698w,3,1.42536657888,0,below,left,down,17.839
2018-11-05-12-06-27,VP698w,3,1.42536657888,0,below,left,left,30.344
2018-11-05-12-06-27,VP698w,4,1.31757541152,1,below,left,start,0
2018-11-05-12-06-27,VP698w,4,1.31757541152,1,below,left,left,18.457
2018-11-05-12-06-27,VP698w,4,1.31757541152,1,below,left,down,44.057
2018-11-05-12-06-27,VP698w,5,1.49482032818,0.25,below,left,start,0
2018-11-05-12-06-27,VP698w,5,1.49482032818,0.25,below,left,left,2.842
2018-11-05-12-06-27,VP698w,5,1.49482032818,0.25,below,left,down,6.596
2018-11-05-12-06-27,VP698w,5,1.49482032818,0.25,below,left,right,30.903
2018-11-05-12-06-27,VP698w,5,1.49482032818,0.25,below,left,down,35.688
2018-11-05-12-06-27,VP698w,5,1.49482032818,0.25,below,left,right,50.711
2018-11-05-12-06-27,VP698w,5,1.49482032818,0.25,below,left,down,52.472
2018-11-05-12-06-27,VP698w,5,1.49482032818,0.25,below,left,right,58.049
2018-11-05-12-06-27,VP698w,6,1.2469371879,0.25,above,left,start,0
2018-11-05-12-06-27,VP698w,6,1.2469371879,0.25,above,left,right,2.877
2018-11-05-12-06-27,VP698w,6,1.2469371879,0.25,above,left,down,10.779
2018-11-05-12-06-27,VP698w,6,1.2469371879,0.25,above,left,right,16.752
