Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-11-22-15-43-50,VP151995w,1,1.09866156754,0,above,left,start,0
2018-11-22-15-43-50,VP151995w,1,1.09866156754,0,above,left,left,2.633
2018-11-22-15-43-50,VP151995w,2,1.09193167102,0.25,above,left,start,0
2018-11-22-15-43-50,VP151995w,2,1.09193167102,0.25,above,left,left,1.571
2018-11-22-15-43-50,VP151995w,3,1.41029944358,1,above,right,start,0
2018-11-22-15-43-50,VP151995w,3,1.41029944358,1,above,right,down,2.495
2018-11-22-15-43-50,VP151995w,3,1.41029944358,1,above,right,right,45.679
2018-11-22-15-43-50,VP151995w,4,1.31746198907,0.5,below,left,start,0
2018-11-22-15-43-50,VP151995w,4,1.31746198907,0.5,below,left,down,1.987
2018-11-22-15-43-50,VP151995w,4,1.31746198907,0.5,below,left,left,14.122
2018-11-22-15-43-50,VP151995w,4,1.31746198907,0.5,below,left,right,36.127
2018-11-22-15-43-50,VP151995w,4,1.31746198907,0.5,below,left,down,57.1
2018-11-22-15-43-50,VP151995w,5,1.01470221864,0,below,right,start,0
2018-11-22-15-43-50,VP151995w,5,1.01470221864,0,below,right,right,1.997
2018-11-22-15-43-50,VP151995w,6,1.34833946601,0.25,below,right,start,0
2018-11-22-15-43-50,VP151995w,6,1.34833946601,0.25,below,right,right,2.112
2018-11-22-15-43-50,VP151995w,7,1.37885156099,0.5,above,right,start,0
2018-11-22-15-43-50,VP151995w,7,1.37885156099,0.5,above,right,right,1.704
2018-11-22-15-43-50,VP151995w,8,1.32221232013,1,below,right,start,0
2018-11-22-15-43-50,VP151995w,8,1.32221232013,1,below,right,right,2.192
2018-11-22-15-43-50,VP151995w,8,1.32221232013,1,below,right,left,6.47
2018-11-22-15-43-50,VP151995w,8,1.32221232013,1,below,right,right,10.258
2018-11-22-15-43-50,VP151995w,8,1.32221232013,1,below,right,left,16.666
2018-11-22-15-43-50,VP151995w,8,1.32221232013,1,below,right,down,27.327
2018-11-22-15-43-50,VP151995w,9,1.22323994389,1,above,left,start,0
2018-11-22-15-43-50,VP151995w,9,1.22323994389,1,above,left,left,2.479
2018-11-22-15-43-50,VP151995w,10,1.08060513481,0,below,left,start,0
2018-11-22-15-43-50,VP151995w,10,1.08060513481,0,below,left,left,2.219
2018-11-22-15-43-50,VP151995w,11,1.32619867984,1,below,left,start,0
2018-11-22-15-43-50,VP151995w,11,1.32619867984,1,below,left,left,2.109
2018-11-22-15-43-50,VP151995w,12,1.49941495751,0.25,below,left,start,0
2018-11-22-15-43-50,VP151995w,12,1.49941495751,0.25,below,left,left,1.414
2018-11-22-15-43-50,VP151995w,13,1.40993526424,0.25,above,right,start,0
2018-11-22-15-43-50,VP151995w,13,1.40993526424,0.25,above,right,left,4.004
2018-11-22-15-43-50,VP151995w,13,1.40993526424,0.25,above,right,right,18.968
2018-11-22-15-43-50,VP151995w,14,1.35064281552,0.5,above,left,start,0
2018-11-22-15-43-50,VP151995w,14,1.35064281552,0.5,above,left,left,3.201
2018-11-22-15-43-50,VP151995w,15,1.02998631952,0.5,below,right,start,0
2018-11-22-15-43-50,VP151995w,15,1.02998631952,0.5,below,right,right,3.433
2018-11-22-15-43-50,VP151995w,15,1.02998631952,0.5,below,right,left,18.633
2018-11-22-15-43-50,VP151995w,15,1.02998631952,0.5,below,right,down,23.046
2018-11-22-15-43-50,VP151995w,15,1.02998631952,0.5,below,right,right,24.737
2018-11-22-15-43-50,VP151995w,16,1.25664729712,0,above,right,start,0
2018-11-22-15-43-50,VP151995w,16,1.25664729712,0,above,right,right,1.464
2018-11-22-15-43-50,VP151995w,16,1.25664729712,0,above,right,left,28.174
