Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-12-07-12-15-57,VP191991w,1,1.14590781629,0,below,left,start,0
2018-12-07-12-15-57,VP191991w,1,1.14590781629,0,below,left,left,1.896
2018-12-07-12-15-57,VP191991w,1,1.14590781629,0,below,left,right,6.013
2018-12-07-12-15-57,VP191991w,1,1.14590781629,0,below,left,left,12.616
2018-12-07-12-15-57,VP191991w,1,1.14590781629,0,below,left,right,27.617
2018-12-07-12-15-57,VP191991w,1,1.14590781629,0,below,left,left,44.312
2018-12-07-12-15-57,VP191991w,1,1.14590781629,0,below,left,right,54.332
2018-12-07-12-15-57,VP191991w,2,1.19935204217,1,above,left,start,0
2018-12-07-12-15-57,VP191991w,2,1.19935204217,1,above,left,left,3.534
2018-12-07-12-15-57,VP191991w,2,1.19935204217,1,above,left,down,8.507
2018-12-07-12-15-57,VP191991w,2,1.19935204217,1,above,left,left,15.277
2018-12-07-12-15-57,VP191991w,2,1.19935204217,1,above,left,down,18.757
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,start,0
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,left,4.386
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,right,6.336
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,left,10.611
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,right,13.612
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,left,18.59
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,right,21.07
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,left,24.191
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,right,32.783
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,left,41.289
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,right,50.022
2018-12-07-12-15-57,VP191991w,3,1.46430074077,0,below,right,down,57.198
2018-12-07-12-15-57,VP191991w,4,1.30122872579,0.25,below,left,start,0
2018-12-07-12-15-57,VP191991w,4,1.30122872579,0.25,below,left,left,4.18
2018-12-07-12-15-57,VP191991w,4,1.30122872579,0.25,below,left,right,7.5
2018-12-07-12-15-57,VP191991w,4,1.30122872579,0.25,below,left,left,16.819
2018-12-07-12-15-57,VP191991w,4,1.30122872579,0.25,below,left,right,24.561
2018-12-07-12-15-57,VP191991w,5,1.41328385519,0.5,above,right,start,0
2018-12-07-12-15-57,VP191991w,5,1.41328385519,0.5,above,right,right,3.121
2018-12-07-12-15-57,VP191991w,6,1.12839794856,0.5,below,right,start,0
2018-12-07-12-15-57,VP191991w,6,1.12839794856,0.5,below,right,right,10.578
2018-12-07-12-15-57,VP191991w,6,1.12839794856,0.5,below,right,down,27.299
2018-12-07-12-15-57,VP191991w,7,1.42547900435,0,above,right,start,0
2018-12-07-12-15-57,VP191991w,7,1.42547900435,0,above,right,left,2.15
2018-12-07-12-15-57,VP191991w,8,1.26241974463,0.25,above,left,start,0
2018-12-07-12-15-57,VP191991w,8,1.26241974463,0.25,above,left,left,4.509
2018-12-07-12-15-57,VP191991w,9,1.43712893592,1,below,right,start,0
2018-12-07-12-15-57,VP191991w,9,1.43712893592,1,below,right,down,5.113
2018-12-07-12-15-57,VP191991w,9,1.43712893592,1,below,right,right,39.461
2018-12-07-12-15-57,VP191991w,10,1.2206903537,0.5,below,left,start,0
2018-12-07-12-15-57,VP191991w,10,1.2206903537,0.5,below,left,left,1.669
2018-12-07-12-15-57,VP191991w,11,1.02785849324,0.25,below,right,start,0
2018-12-07-12-15-57,VP191991w,11,1.02785849324,0.25,below,right,right,7.755
2018-12-07-12-15-57,VP191991w,11,1.02785849324,0.25,below,right,left,45.809
2018-12-07-12-15-57,VP191991w,12,1.37808752903,0.25,above,right,start,0
2018-12-07-12-15-57,VP191991w,12,1.37808752903,0.25,above,right,left,2.179
2018-12-07-12-15-57,VP191991w,12,1.37808752903,0.25,above,right,right,22.327
2018-12-07-12-15-57,VP191991w,12,1.37808752903,0.25,above,right,left,55.621
2018-12-07-12-15-57,VP191991w,13,1.27614167173,0,above,left,start,0
2018-12-07-12-15-57,VP191991w,13,1.27614167173,0,above,left,left,5.285
2018-12-07-12-15-57,VP191991w,13,1.27614167173,0,above,left,right,22.475
2018-12-07-12-15-57,VP191991w,13,1.27614167173,0,above,left,left,45.836
2018-12-07-12-15-57,VP191991w,14,1.25459341483,0.5,above,left,start,0
2018-12-07-12-15-57,VP191991w,14,1.25459341483,0.5,above,left,left,4.099
2018-12-07-12-15-57,VP191991w,14,1.25459341483,0.5,above,left,down,17.107
2018-12-07-12-15-57,VP191991w,15,1.22179537035,1,below,left,start,0
2018-12-07-12-15-57,VP191991w,15,1.22179537035,1,below,left,left,5.174
2018-12-07-12-15-57,VP191991w,15,1.22179537035,1,below,left,down,13.933
2018-12-07-12-15-57,VP191991w,15,1.22179537035,1,below,left,left,34.48
2018-12-07-12-15-57,VP191991w,15,1.22179537035,1,below,left,down,38.69
2018-12-07-12-15-57,VP191991w,15,1.22179537035,1,below,left,left,57.931
2018-12-07-12-15-57,VP191991w,16,1.09060510306,1,above,right,start,0
2018-12-07-12-15-57,VP191991w,16,1.09060510306,1,above,right,right,4.086
2018-12-07-12-15-57,VP191991w,16,1.09060510306,1,above,right,down,7.454
