Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-30-14-23-33,VP181997w,1,1,probe,0.25,right,right,2,0.933436888864,0,right,0.439
2018-11-30-14-23-33,VP181997w,1,2,both,0.25,right,left,2,1.46682939679,0.87509708331,up,1.444
2018-11-30-14-23-33,VP181997w,1,3,probe,0.25,left,left,1,1.10012204759,0,right,0.267
2018-11-30-14-23-33,VP181997w,1,4,both,0.25,left,left,1,0.975108178546,0.716746182521,left,0.234
2018-11-30-14-23-33,VP181997w,1,5,probe,1,left,left,0.25,1.17513036902,0,right,0.339
2018-11-30-14-23-33,VP181997w,1,6,both,1,left,left,0.25,1.15012759521,0.791754503947,left,0.397
2018-11-30-14-23-33,VP181997w,1,7,probe,0.25,right,left,0.25,0.925102630928,0,right,0.42
2018-11-30-14-23-33,VP181997w,1,8,both,0.25,right,left,0.25,1.25013869044,0.783420246011,left,0.372
2018-11-30-14-23-33,VP181997w,1,9,probe,0,right,left,0.25,0.908434115055,0,left,0.273
2018-11-30-14-23-33,VP181997w,1,10,both,0,right,right,0.25,0.841760051565,0.758417472202,right,0.404
2018-11-30-14-23-33,VP181997w,1,11,probe,0.5,left,right,0.5,0.858428567438,0,right,0.45
2018-11-30-14-23-33,VP181997w,1,12,both,0.5,left,left,0.5,1.36681830155,0.825091535693,left,0.309
2018-11-30-14-23-33,VP181997w,1,13,probe,0,right,left,1,0.983442436482,0,left,0.213
2018-11-30-14-23-33,VP181997w,1,14,both,0,right,right,1,0.841760051565,0.850094309501,right,0.25
2018-11-30-14-23-33,VP181997w,1,15,probe,0,left,right,0.25,0.983442436482,0,right,0.208
2018-11-30-14-23-33,VP181997w,1,16,both,0,left,left,0.25,0.800088761884,0.891765599183,left,0.356
2018-11-30-14-23-33,VP181997w,1,17,probe,0.5,left,left,2,1.25013869044,0,right,0.213
2018-11-30-14-23-33,VP181997w,1,18,both,0.5,left,left,2,1.06678501584,0.866762825374,down,0.317
2018-11-30-14-23-33,VP181997w,1,19,probe,0.25,right,left,0.5,1.09178778965,0,right,0.242
2018-11-30-14-23-33,VP181997w,1,20,both,0.25,right,left,0.5,0.850094309501,0.791754503947,left,0.394
2018-11-30-14-23-33,VP181997w,1,21,probe,0.5,right,left,0.5,0.716746182521,0,left,0.268
2018-11-30-14-23-33,VP181997w,1,22,both,0.5,right,right,0.5,0.883431341247,0.74174895633,down,0.844
2018-11-30-14-23-33,VP181997w,1,23,probe,1,left,right,1,0.866762825374,0,right,0.237
2018-11-30-14-23-33,VP181997w,1,24,both,1,left,left,1,1.44182662298,0.750083214266,down,0.437
2018-11-30-14-23-33,VP181997w,1,25,probe,0.5,left,left,0.25,1.41682384917,0,right,0.446
2018-11-30-14-23-33,VP181997w,1,26,both,0.5,left,left,0.25,1.308478496,0.74174895633,left,0.274
2018-11-30-14-23-33,VP181997w,1,27,probe,0.5,right,left,1,1.47516365472,0,left,0.264
2018-11-30-14-23-33,VP181997w,1,28,both,0.5,right,right,1,1.11679056346,0.87509708331,down,0.243
2018-11-30-14-23-33,VP181997w,1,29,probe,0,left,right,0.5,1.01677946823,0,right,0.231
2018-11-30-14-23-33,VP181997w,1,30,both,0,left,left,0.5,1.17513036902,0.758417472202,down,0.352
2018-11-30-14-23-33,VP181997w,1,31,probe,1,right,left,1,1.45016088091,0,left,0.246
2018-11-30-14-23-33,VP181997w,1,32,both,1,right,right,1,1.23347017457,0.80842301982,down,0.242
2018-11-30-14-23-33,VP181997w,1,33,probe,0.5,right,right,0.25,0.700077666648,0,left,0.256
2018-11-30-14-23-33,VP181997w,1,34,both,0.5,right,right,0.25,0.958439662673,0.883431341247,right,0.387
2018-11-30-14-23-33,VP181997w,1,35,probe,0,left,right,2,0.700077666648,0,right,0.201
2018-11-30-14-23-33,VP181997w,1,36,both,0,left,left,2,0.716746182521,0.866762825374,down,0.501
2018-11-30-14-23-33,VP181997w,1,37,probe,0.5,left,left,1,1.4918321706,0,right,0.186
2018-11-30-14-23-33,VP181997w,1,38,both,0.5,left,left,1,1.29180998012,0.725080440457,down,0.334
2018-11-30-14-23-33,VP181997w,1,39,probe,0.25,right,left,1,0.966773920609,0,left,0.446
2018-11-30-14-23-33,VP181997w,1,40,both,0.25,right,right,1,0.750083214266,0.883431341247,down,0.201
2018-11-30-14-23-33,VP181997w,1,41,probe,0.25,left,right,0.25,0.816757277756,0,right,0.163
2018-11-30-14-23-33,VP181997w,1,42,both,0.25,left,left,0.25,0.858428567438,0.725080440457,down,0.448
2018-11-30-14-23-33,VP181997w,1,43,probe,0,right,left,2,0.775085988075,0,left,0.262
2018-11-30-14-23-33,VP181997w,1,44,both,0,right,right,2,1.06678501584,0.750083214266,down,0.209
2018-11-30-14-23-33,VP181997w,1,45,probe,1,right,right,0.5,1.08345353172,0,left,0.242
2018-11-30-14-23-33,VP181997w,1,46,both,1,right,right,0.5,0.983442436482,0.74174895633,down,0.456
2018-11-30-14-23-33,VP181997w,1,47,probe,1,right,right,2,1.48349791266,0,left,0.297
2018-11-30-14-23-33,VP181997w,1,48,both,1,right,right,2,1.10845630553,0.841760051565,down,0.437
2018-11-30-14-23-33,VP181997w,1,49,probe,1,right,right,0.25,1.32514701187,0,left,0.289
2018-11-30-14-23-33,VP181997w,1,50,both,1,right,right,0.25,1.50016642853,0.858428567438,right,0.612
2018-11-30-14-23-33,VP181997w,1,51,probe,0,right,right,0.5,1.4001553333,0,left,0.202
2018-11-30-14-23-33,VP181997w,1,52,both,0,right,right,0.5,0.833425793629,0.800088761884,down,0.254
2018-11-30-14-23-33,VP181997w,1,53,probe,0.25,left,right,2,1.11679056346,0,right,0.241
2018-11-30-14-23-33,VP181997w,1,54,both,0.25,left,left,2,1.13345907934,0.841760051565,down,0.349
2018-11-30-14-23-33,VP181997w,1,55,probe,1,left,left,2,1.30014423806,0,right,0.227
2018-11-30-14-23-33,VP181997w,1,56,both,1,left,left,2,1.47516365472,0.791754503947,down,0.407
2018-11-30-14-23-33,VP181997w,1,57,probe,1,left,left,0.5,0.841760051565,0,right,0.257
2018-11-30-14-23-33,VP181997w,1,58,both,1,left,left,0.5,0.900099857119,0.891765599183,down,0.42
2018-11-30-14-23-33,VP181997w,1,59,probe,0.25,left,left,0.5,1.32514701187,0,right,0.196
2018-11-30-14-23-33,VP181997w,1,60,both,0.25,left,left,0.5,1.14179333727,0.74174895633,down,0.314
2018-11-30-14-23-33,VP181997w,1,61,probe,0,left,left,1,1.00844521029,0,right,0.183
2018-11-30-14-23-33,VP181997w,1,62,both,0,left,left,1,1.4918321706,0.775085988075,down,0.759
2018-11-30-14-23-33,VP181997w,1,63,probe,0.5,right,left,2,1.24180443251,0,left,0.209
2018-11-30-14-23-33,VP181997w,1,64,both,0.5,right,right,2,0.775085988075,0.791754503947,down,0.213
2018-11-30-14-23-33,VP181997w,2,1,probe,0,left,right,2,1.25847294838,0,right,0.274
2018-11-30-14-23-33,VP181997w,2,2,both,0,left,left,2,1.36681830155,0.791754503947,down,0.176
2018-11-30-14-23-33,VP181997w,2,3,probe,0.25,left,left,0.25,0.916768372992,0,right,0.361
2018-11-30-14-23-33,VP181997w,2,4,both,0.25,left,left,0.25,1.33348126981,0.841760051565,down,0.655
2018-11-30-14-23-33,VP181997w,2,5,probe,0.25,right,left,1,1.43349236504,0,left,0.192
2018-11-30-14-23-33,VP181997w,2,6,both,0.25,right,right,1,1.27514146425,0.816757277756,down,0.255
2018-11-30-14-23-33,VP181997w,2,7,probe,0.25,right,right,0.5,1.05011649997,0,left,0.193
2018-11-30-14-23-33,VP181997w,2,8,both,0.25,right,right,0.5,1.04178224204,0.783420246011,down,0.304
2018-11-30-14-23-33,VP181997w,2,9,probe,0.5,left,right,2,0.783420246011,0,right,0.248
2018-11-30-14-23-33,VP181997w,2,10,both,0.5,left,left,2,1.10012204759,0.750083214266,down,0.206
2018-11-30-14-23-33,VP181997w,2,11,probe,0.5,right,left,1,1.28347572219,0,left,0.194
2018-11-30-14-23-33,VP181997w,2,12,both,0.5,right,right,1,0.841760051565,0.883431341247,down,0.198
2018-11-30-14-23-33,VP181997w,2,13,probe,1,left,right,1,1.05011649997,0,right,0.218
2018-11-30-14-23-33,VP181997w,2,14,both,1,left,left,1,0.858428567438,0.725080440457,down,0.21
2018-11-30-14-23-33,VP181997w,2,15,probe,1,left,left,0.25,1.24180443251,0,right,0.199
2018-11-30-14-23-33,VP181997w,2,16,both,1,left,left,0.25,1.00844521029,0.725080440457,down,0.393
2018-11-30-14-23-33,VP181997w,2,17,probe,1,left,left,2,0.908434115055,0,right,0.183
2018-11-30-14-23-33,VP181997w,2,18,both,1,left,left,2,0.758417472202,0.891765599183,down,0.256
2018-11-30-14-23-33,VP181997w,2,19,probe,0.25,right,left,2,1.27514146425,0,left,0.198
2018-11-30-14-23-33,VP181997w,2,20,both,0.25,right,right,2,1.16679611108,0.750083214266,down,0.583
2018-11-30-14-23-33,VP181997w,2,21,probe,1,right,right,1,0.883431341247,0,left,0.38
2018-11-30-14-23-33,VP181997w,2,22,both,1,right,right,1,1.18346462695,0.758417472202,down,0.316
2018-11-30-14-23-33,VP181997w,2,23,probe,0.25,left,right,0.5,1.04178224204,0,right,0.337
2018-11-30-14-23-33,VP181997w,2,24,both,0.25,left,left,0.5,1.38348681742,0.766751730139,down,0.914
2018-11-30-14-23-33,VP181997w,2,25,probe,0.5,right,left,2,0.900099857119,0,left,0.197
