Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-15-17-45-18,VP101999w,1,1,probe,0.5,below,right,2,1.13296797475,0,left,0.901
2018-11-15-17-45-18,VP101999w,1,2,both,0.5,below,right,2,1.3662260872,0.758088865456,down,0.052
2018-11-15-17-45-18,VP101999w,1,3,probe,0,above,right,0.5,1.21627444348,0,left,0.6
2018-11-15-17-45-18,VP101999w,1,4,both,0,above,right,0.5,0.841395334187,0.891379215426,down,0.422
2018-11-15-17-45-18,VP101999w,1,5,probe,0,below,right,1,0.766419512329,0,left,0.683
2018-11-15-17-45-18,VP101999w,1,6,both,0,below,right,1,0.883048568553,0.866387274807,down,0.537
2018-11-15-17-45-18,VP101999w,1,7,probe,1,above,right,0.5,1.4578632028,0,left,0.743
2018-11-15-17-45-18,VP101999w,1,8,both,1,above,right,0.5,1.49118579029,0.824734040441,right,0.843
2018-11-15-17-45-18,VP101999w,1,9,probe,0,above,right,0.25,0.916371156046,0,left,0.568
2018-11-15-17-45-18,VP101999w,1,10,both,0,above,right,0.25,1.08298409351,0.766419512329,down,0.442
2018-11-15-17-45-18,VP101999w,1,11,probe,0.25,above,right,2,1.23293573723,0,left,1.112
2018-11-15-17-45-18,VP101999w,1,12,both,0.25,above,right,2,1.06632279976,0.883048568553,right,0.419
2018-11-15-17-45-18,VP101999w,1,13,probe,0,below,right,2,1.08298409351,0,right,0.569
2018-11-15-17-45-18,VP101999w,1,14,both,0,below,left,2,0.958024390411,0.824734040441,down,0.741
2018-11-15-17-45-18,VP101999w,1,15,probe,0.25,above,left,1,1.2412663841,0,left,0.748
2018-11-15-17-45-18,VP101999w,1,16,both,0.25,above,right,1,0.74142757171,0.87471792168,down,0.83
2018-11-15-17-45-18,VP101999w,1,17,probe,0.5,above,right,0.25,0.783080806075,0,left,0.873
2018-11-15-17-45-18,VP101999w,1,18,both,0.5,above,right,0.25,1.46619384967,0.783080806075,down,1.263
2018-11-15-17-45-18,VP101999w,1,19,probe,1,above,right,0.25,0.958024390411,0,left,0.556
2018-11-15-17-45-18,VP101999w,1,20,both,1,above,right,0.25,0.983016331031,0.849725981061,right,0.741
2018-11-15-17-45-18,VP101999w,1,21,probe,1,below,right,2,0.791411452949,0,right,1.505
2018-11-15-17-45-18,VP101999w,1,22,both,1,below,left,2,0.791411452949,0.849725981061,left,0.429
2018-11-15-17-45-18,VP101999w,1,23,probe,1,below,left,0.5,1.49951643717,0,left,0.814
2018-11-15-17-45-18,VP101999w,1,24,both,1,below,right,0.5,1.3329034997,0.849725981061,right,1.374
2018-11-15-17-45-18,VP101999w,1,25,probe,0.5,above,right,0.5,1.29125026534,0,right,0.892
2018-11-15-17-45-18,VP101999w,1,26,both,0.5,above,left,0.5,1.04133085914,0.883048568553,left,0.806
2018-11-15-17-45-18,VP101999w,1,27,probe,0.5,above,left,2,1.00800827165,0,left,1.779
2018-11-15-17-45-18,VP101999w,1,28,both,0.5,above,right,2,1.44120190905,0.858056627934,right,0.586
2018-11-15-17-45-18,VP101999w,1,29,probe,0.5,below,right,0.25,1.31624220596,0,left,1.037
2018-11-15-17-45-18,VP101999w,1,30,both,0.5,below,right,0.25,1.29958091221,0.783080806075,right,0.87
2018-11-15-17-45-18,VP101999w,1,31,probe,0.25,below,right,1,0.708104984217,0,right,0.563
2018-11-15-17-45-18,VP101999w,1,32,both,0.25,below,left,1,1.08298409351,0.883048568553,down,0.513
2018-11-15-17-45-18,VP101999w,1,33,probe,1,above,left,1,1.04966150602,0,left,0.966
2018-11-15-17-45-18,VP101999w,1,34,both,1,above,right,1,1.39954867469,0.87471792168,down,0.658
2018-11-15-17-45-18,VP101999w,1,35,probe,0.25,below,right,2,1.34123414658,0,right,0.511
2018-11-15-17-45-18,VP101999w,1,36,both,0.25,below,left,2,0.849725981061,0.791411452949,down,0.513
2018-11-15-17-45-18,VP101999w,1,37,probe,1,below,left,1,0.933032449792,0,right,0.299
2018-11-15-17-45-18,VP101999w,1,38,both,1,below,left,1,1.37455673407,0.87471792168,left,0.586
2018-11-15-17-45-18,VP101999w,1,39,probe,0.5,below,left,0.5,0.808072746695,0,right,0.441
2018-11-15-17-45-18,VP101999w,1,40,both,0.5,below,left,0.5,1.48285514342,0.858056627934,left,0.613
2018-11-15-17-45-18,VP101999w,1,41,probe,0,above,left,2,1.44953255593,0,left,0.683
2018-11-15-17-45-18,VP101999w,1,42,both,0,above,right,2,1.25792767784,0.833064687314,right,0.507
2018-11-15-17-45-18,VP101999w,1,43,probe,0.25,above,right,0.25,0.816403393568,0,right,0.714
2018-11-15-17-45-18,VP101999w,1,44,both,0.25,above,left,0.25,1.39954867469,0.791411452949,left,0.94
2018-11-15-17-45-18,VP101999w,1,45,probe,0,below,left,0.5,1.43287126218,0,right,0.842
2018-11-15-17-45-18,VP101999w,1,46,both,0,below,left,0.5,0.841395334187,0.824734040441,down,0.691
2018-11-15-17-45-18,VP101999w,1,47,probe,0.25,below,left,0.25,0.966355037285,0,right,0.41
2018-11-15-17-45-18,VP101999w,1,48,both,0.25,below,left,0.25,0.941363096665,0.799742099822,left,2.053
2018-11-15-17-45-18,VP101999w,1,49,probe,0.5,above,left,1,1.27458897159,0,left,0.496
2018-11-15-17-45-18,VP101999w,1,50,both,0.5,above,right,1,0.883048568553,0.891379215426,down,0.426
2018-11-15-17-45-18,VP101999w,1,51,probe,1,below,right,0.25,1.29958091221,0,right,0.343
2018-11-15-17-45-18,VP101999w,1,52,both,1,below,left,0.25,0.749758218583,0.841395334187,down,2.149
2018-11-15-17-45-18,VP101999w,1,53,probe,0,below,left,0.25,1.40787932156,0,right,0.297
