Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-06-27-14-46-39,05,1,1,probe,1,right,right,1,0.982927486561,0,right,1.243
2018-06-27-14-46-39,05,1,2,both,1,right,left,1,0.741360561897,0.758020349805,up,1.948
2018-06-27-14-46-39,05,1,3,probe,0,right,left,2,1.01624706238,0,right,2.81
2018-06-27-14-46-39,05,1,4,both,0,right,left,2,0.991257380515,0.72470077399,left,0.309
2018-06-27-14-46-39,05,1,5,probe,1,left,left,2,1.23282430518,0,left,0.629
2018-06-27-14-46-39,05,1,6,both,1,left,right,2,0.907958440976,0.899628547022,up,0.273
2018-06-27-14-46-39,05,1,7,probe,0.5,left,right,1,1.33278303262,0,right,0.364
2018-06-27-14-46-39,05,1,8,both,0.5,left,left,1,0.87463886516,0.857979077252,left,0.676
2018-06-27-14-46-39,05,1,9,probe,0,left,left,1,0.708040986082,0,left,0.422
2018-06-27-14-46-39,05,1,10,both,0,left,right,1,1.34944282053,0.87463886516,up,0.305
2018-06-27-14-46-39,05,1,11,probe,1,right,right,0.25,0.783010031667,0,left,0.411
2018-06-27-14-46-39,05,1,12,both,1,right,right,0.25,1.00791716842,0.716370880036,down,1.722
2018-06-27-14-46-39,05,1,13,probe,0.5,left,right,2,0.816329607483,0,left,0.342
2018-06-27-14-46-39,05,1,14,both,0.5,left,right,2,1.09121610796,0.774680137713,up,0.317
2018-06-27-14-46-39,05,1,15,probe,1,right,right,2,1.44940154798,0,right,0.388
2018-06-27-14-46-39,05,1,16,both,1,right,left,2,1.16618515355,0.72470077399,up,0.282
2018-06-27-14-46-39,05,1,17,probe,0.25,left,left,0.5,0.824659501436,0,left,1.568
2018-06-27-14-46-39,05,1,18,both,0.25,left,right,0.5,0.774680137713,0.891298653068,up,0.438
2018-06-27-14-46-39,05,1,19,probe,0.25,right,right,1,0.882968759114,0,right,0.368
2018-06-27-14-46-39,05,1,20,both,0.25,right,left,1,1.07455632005,0.841319289344,up,0.298
2018-06-27-14-46-39,05,1,21,probe,0.25,right,left,0.25,1.13286557773,0,right,1.349
2018-06-27-14-46-39,05,1,22,both,0.25,right,left,0.25,0.708040986082,0.807999713529,up,0.784
2018-06-27-14-46-39,05,1,23,probe,1,left,left,1,1.26614388099,0,left,0.414
2018-06-27-14-46-39,05,1,24,both,1,left,right,1,1.19950472936,0.841319289344,up,0.232
2018-06-27-14-46-39,05,1,25,probe,0.5,right,right,0.25,1.24115419913,0,right,0.422
2018-06-27-14-46-39,05,1,26,both,0.5,right,left,0.25,0.849649183298,0.891298653068,up,0.714
2018-06-27-14-46-39,05,1,27,probe,0.25,left,left,1,1.04123674424,0,left,1.296
2018-06-27-14-46-39,05,1,28,both,0.25,left,right,1,1.34111292658,0.87463886516,up,0.227
2018-06-27-14-46-39,05,1,29,probe,0.25,right,right,2,0.974597592607,0,right,0.355
2018-06-27-14-46-39,05,1,30,both,0.25,right,left,2,1.13286557773,0.849649183298,up,0.29
2018-06-27-14-46-39,05,1,31,probe,0,right,left,0.5,0.741360561897,0,right,1.216
2018-06-27-14-46-39,05,1,32,both,0,right,left,0.5,1.15785525959,0.882968759114,left,0.446
2018-06-27-14-46-39,05,1,33,probe,0.5,right,left,2,1.08288621401,0,left,0.378
2018-06-27-14-46-39,05,1,34,both,0.5,right,right,2,0.949607910745,0.866308971206,right,0.239
2018-06-27-14-46-39,05,1,35,probe,0.5,right,right,1,1.31612324472,0,right,0.548
2018-06-27-14-46-39,05,1,36,both,0.5,right,left,1,1.29113356286,0.866308971206,left,0.266
2018-06-27-14-46-39,05,1,37,probe,0.25,left,left,0.25,1.34944282053,0,left,0.406
2018-06-27-14-46-39,05,1,38,both,0.25,left,right,0.25,0.941278016791,0.882968759114,up,0.813
2018-06-27-14-46-39,05,1,39,probe,0.5,left,right,0.25,0.982927486561,0,right,0.378
2018-06-27-14-46-39,05,1,40,both,0.5,left,left,0.25,1.10787589587,0.791339925621,left,0.525
2018-06-27-14-46-39,05,1,41,probe,1,left,left,0.5,0.982927486561,0,left,0.248
2018-06-27-14-46-39,05,1,42,both,1,left,right,0.5,0.807999713529,0.87463886516,up,0.499
2018-06-27-14-46-39,05,1,43,probe,0,right,right,0.25,1.44940154798,0,right,0.389
2018-06-27-14-46-39,05,1,44,both,0,right,left,0.25,0.716370880036,0.741360561897,left,0.438
2018-06-27-14-46-39,05,1,45,probe,0,right,left,1,1.13286557773,0,right,0.48
2018-06-27-14-46-39,05,1,46,both,0,right,left,1,1.26614388099,0.758020349805,up,0.205
2018-06-27-14-46-39,05,1,47,probe,0,left,left,0.5,1.19117483541,0,left,0.363
2018-06-27-14-46-39,05,1,48,both,0,left,right,0.5,1.20783462332,0.857979077252,up,0.333
2018-06-27-14-46-39,05,1,49,probe,0.5,left,right,0.5,1.14119547168,0,right,0.31
2018-06-27-14-46-39,05,1,50,both,0.5,left,left,0.5,1.32445313867,0.733030667944,left,0.517
2018-06-27-14-46-39,05,1,51,probe,1,right,left,0.5,0.949607910745,0,right,0.533
2018-06-27-14-46-39,05,1,52,both,1,right,left,0.5,1.44940154798,0.733030667944,up,0.512
2018-06-27-14-46-39,05,1,53,probe,0.25,right,left,0.5,1.10787589587,0,left,3.849
2018-06-27-14-46-39,05,1,54,both,0.25,right,right,0.5,1.34944282053,0.791339925621,right,0.949
2018-06-27-14-46-39,05,1,55,probe,0,left,right,0.25,1.44107165403,0,right,0.382
2018-06-27-14-46-39,05,1,56,both,0,left,left,0.25,1.29946345681,0.733030667944,left,0.462
2018-06-27-14-46-39,05,1,57,probe,0.25,left,left,2,1.42441186612,0,right,0.285
2018-06-27-14-46-39,05,1,58,both,0.25,left,left,2,0.941278016791,0.774680137713,left,0.23
2018-06-27-14-46-39,05,1,59,probe,0,left,left,2,1.03290685028,0,left,0.301
2018-06-27-14-46-39,05,1,60,both,0,left,right,2,1.39942218426,0.716370880036,right,0.234
2018-06-27-14-46-39,05,1,61,probe,1,left,right,0.25,1.2828036689,0,right,0.29
2018-06-27-14-46-39,05,1,62,both,1,left,left,0.25,1.29946345681,0.899628547022,left,0.354
2018-06-27-14-46-39,05,1,63,probe,0.5,right,left,0.5,1.19950472936,0,right,1.787
2018-06-27-14-46-39,05,1,64,both,0.5,right,left,0.5,0.907958440976,0.783010031667,left,1.05
2018-06-27-14-46-39,05,2,1,probe,1,left,left,1,1.02457695633,0,right,0.329
2018-06-27-14-46-39,05,2,2,both,1,left,left,1,1.02457695633,0.741360561897,left,0.252
2018-06-27-14-46-39,05,2,3,probe,0.25,right,left,0.25,0.982927486561,0,left,0.279
2018-06-27-14-46-39,05,2,4,both,0.25,right,right,0.25,0.974597592607,0.882968759114,right,0.499
2018-06-27-14-46-39,05,2,5,probe,0.25,left,right,1,0.749690455851,0,right,0.222
2018-06-27-14-46-39,05,2,6,both,0.25,left,left,1,0.807999713529,0.766350243759,down,0.32
2018-06-27-14-46-39,05,2,7,probe,0.5,right,left,0.25,1.32445313867,0,right,2.698
2018-06-27-14-46-39,05,2,8,both,0.5,right,left,0.25,1.09121610796,0.824659501436,right,0.403
2018-06-27-14-46-39,05,2,9,probe,0,left,left,1,1.09121610796,0,right,0.329
2018-06-27-14-46-39,05,2,10,both,0,left,left,1,1.13286557773,0.866308971206,left,0.262
2018-06-27-14-46-39,05,2,11,probe,0,left,left,2,0.83298939539,0,right,0.261
