Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-23-08-59-42,VP151995w,1,1,probe,0.25,above,right,0.25,0.758299897385,0,left,0.475
2018-11-23-08-59-42,VP151995w,1,2,both,0.25,above,right,0.25,1.24161191989,0.716635067858,right,1.623
2018-11-23-08-59-42,VP151995w,1,3,probe,1,below,right,2,0.799964726912,0,left,0.974
2018-11-23-08-59-42,VP151995w,1,4,both,1,below,right,2,1.08328556769,0.849962522344,down,0.426
2018-11-23-08-59-42,VP151995w,1,5,probe,0,below,right,2,1.46660199934,0,left,1.256
2018-11-23-08-59-42,VP151995w,1,6,both,0,below,right,2,1.45826903343,0.741633965574,left,0.438
2018-11-23-08-59-42,VP151995w,1,7,probe,1,below,right,0.25,1.21661302218,0,left,0.546
2018-11-23-08-59-42,VP151995w,1,8,both,1,below,right,0.25,1.04162073817,0.76663286329,down,0.741
2018-11-23-08-59-42,VP151995w,1,9,probe,0.5,above,right,1,0.799964726912,0,left,0.778
2018-11-23-08-59-42,VP151995w,1,10,both,0.5,above,right,1,0.958291079113,0.699969136048,left,1.087
2018-11-23-08-59-42,VP151995w,1,11,probe,1,above,right,2,0.774965829196,0,left,0.52
2018-11-23-08-59-42,VP151995w,1,12,both,1,above,right,2,0.858295488249,0.758299897385,down,0.872
2018-11-23-08-59-42,VP151995w,1,13,probe,1,below,right,1,1.04162073817,0,left,0.573
2018-11-23-08-59-42,VP151995w,1,14,both,1,below,right,1,0.741633965574,0.849962522344,down,0.647
2018-11-23-08-59-42,VP151995w,1,15,probe,0.5,below,right,1,1.16661522675,0,left,0.472
2018-11-23-08-59-42,VP151995w,1,16,both,0.5,below,right,1,0.799964726912,0.866628454154,down,0.701
2018-11-23-08-59-42,VP151995w,1,17,probe,0,above,right,2,1.3999382721,0,left,0.785
2018-11-23-08-59-42,VP151995w,1,18,both,0,above,right,2,0.983289976829,0.791631761006,left,0.715
2018-11-23-08-59-42,VP151995w,1,19,probe,0,above,right,0.25,1.24161191989,0,left,0.525
2018-11-23-08-59-42,VP151995w,1,20,both,0,above,right,0.25,0.958291079113,0.816630658722,down,1.471
2018-11-23-08-59-42,VP151995w,1,21,probe,1,below,right,0.5,1.42493716981,0,left,0.727
2018-11-23-08-59-42,VP151995w,1,22,both,1,below,right,0.5,0.99995590864,0.841629556438,down,0.739
2018-11-23-08-59-42,VP151995w,1,23,probe,0.25,below,right,1,0.87496142006,0,left,0.488
2018-11-23-08-59-42,VP151995w,1,24,both,0.25,below,right,1,1.46660199934,0.899960317776,down,1.194
2018-11-23-08-59-42,VP151995w,1,25,probe,0,above,right,1,0.87496142006,0,left,0.598
2018-11-23-08-59-42,VP151995w,1,26,both,0,above,right,1,1.17494819265,0.716635067858,down,2.565
2018-11-23-08-59-42,VP151995w,1,27,probe,0.25,below,right,2,0.808297692817,0,left,0.82
2018-11-23-08-59-42,VP151995w,1,28,both,0.25,below,right,2,1.39160530619,0.76663286329,down,0.703
2018-11-23-08-59-42,VP151995w,1,29,probe,0.25,below,right,0.5,1.34160751076,0,left,0.494
2018-11-23-08-59-42,VP151995w,1,30,both,0.25,below,right,0.5,0.974957010924,0.733300999669,down,0.691
2018-11-23-08-59-42,VP151995w,1,31,probe,0.25,below,right,0.25,0.724968033764,0,left,0.523
2018-11-23-08-59-42,VP151995w,1,32,both,0.25,below,right,0.25,0.974957010924,0.87496142006,down,0.767
2018-11-23-08-59-42,VP151995w,1,33,probe,0.5,above,right,0.5,1.19994709037,0,left,0.641
2018-11-23-08-59-42,VP151995w,1,34,both,0.5,above,right,0.5,0.74996693148,0.724968033764,down,1.038
2018-11-23-08-59-42,VP151995w,1,35,probe,1,above,right,0.5,0.699969136048,0,left,0.848
2018-11-23-08-59-42,VP151995w,1,36,both,1,above,right,0.5,1.49160089705,0.716635067858,down,0.731
2018-11-23-08-59-42,VP151995w,1,37,probe,0.5,below,right,0.25,1.14994929494,0,left,0.602
2018-11-23-08-59-42,VP151995w,1,38,both,0.5,below,right,0.25,1.03328777226,0.774965829196,down,1.149
2018-11-23-08-59-42,VP151995w,1,39,probe,0,below,right,0.25,1.18328115856,0,left,0.553
2018-11-23-08-59-42,VP151995w,1,40,both,0,below,right,0.25,1.05828666998,0.774965829196,down,0.672
2018-11-23-08-59-42,VP151995w,1,41,probe,0,above,right,0.5,1.408271238,0,left,0.687
2018-11-23-08-59-42,VP151995w,1,42,both,0,above,right,0.5,1.34160751076,0.89162735187,left,1.478
2018-11-23-08-59-42,VP151995w,1,43,probe,0,below,right,1,1.36660640847,0,left,0.516
2018-11-23-08-59-42,VP151995w,1,44,both,0,below,right,1,1.23327895399,0.849962522344,unclear,3.59
2018-11-23-08-59-42,VP151995w,1,45,probe,0.25,above,right,0.5,1.26661081761,0,left,1.084
2018-11-23-08-59-42,VP151995w,1,46,both,0.25,above,right,0.5,0.991622942734,0.816630658722,down,0.951
2018-11-23-08-59-42,VP151995w,1,47,probe,1,above,right,0.25,1.33327454485,0,left,0.521
2018-11-23-08-59-42,VP151995w,1,48,both,1,above,right,0.25,1.34160751076,0.774965829196,down,1.112
2018-11-23-08-59-42,VP151995w,1,49,probe,0,below,right,0.5,1.41660420391,0,left,0.701
2018-11-23-08-59-42,VP151995w,1,50,both,0,below,right,0.5,1.10828446541,0.741633965574,down,1.147
2018-11-23-08-59-42,VP151995w,1,51,probe,0.5,above,right,2,1.2499448858,0,left,0.586
2018-11-23-08-59-42,VP151995w,1,52,both,0.5,above,right,2,0.74996693148,0.808297692817,down,0.634
2018-11-23-08-59-42,VP151995w,1,53,probe,0.5,above,right,0.25,0.724968033764,0,left,0.467
2018-11-23-08-59-42,VP151995w,1,54,both,0.5,above,right,0.25,1.12495039722,0.774965829196,left,1.801
2018-11-23-08-59-42,VP151995w,1,55,probe,0.25,above,right,2,1.3999382721,0,left,1.174
2018-11-23-08-59-42,VP151995w,1,56,both,0.25,above,right,2,1.2582778517,0.783298795101,left,0.693
