Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-09-12-12-48,VP21999w,1,1,probe,0.5,right,right,1,1.15024438356,0,left,0.491
2018-11-09-12-12-48,VP21999w,1,2,both,0.5,right,right,1,0.75015938058,0.700148755208,down,1.983
2018-11-09-12-12-48,VP21999w,1,3,probe,1,right,right,1,0.950201882068,0,left,0.635
2018-11-09-12-12-48,VP21999w,1,4,both,1,right,right,1,1.39196240619,0.858515735553,right,0.377
2018-11-09-12-12-48,VP21999w,1,5,probe,0.5,right,right,2,1.31694646813,0,left,0.415
2018-11-09-12-12-48,VP21999w,1,6,both,0.5,right,right,2,0.916861465154,0.708483859437,down,1.069
2018-11-09-12-12-48,VP21999w,1,7,probe,0.5,right,right,0.5,1.20025500893,0,left,0.555
2018-11-09-12-12-48,VP21999w,1,8,both,0.5,right,right,0.5,1.1919199047,0.800170005952,up,1.141
2018-11-09-12-12-48,VP21999w,1,9,probe,1,right,right,0.5,1.35862198927,0,left,0.385
2018-11-09-12-12-48,VP21999w,1,10,both,1,right,right,0.5,0.783499797495,0.716818963665,up,2.991
2018-11-09-12-12-48,VP21999w,1,11,probe,1,left,right,2,0.916861465154,0,left,0.391
2018-11-09-12-12-48,VP21999w,1,12,both,1,left,right,2,1.02521782013,0.850180631324,right,0.326
2018-11-09-12-12-48,VP21999w,1,13,probe,0.5,left,right,0.25,0.916861465154,0,right,0.49
2018-11-09-12-12-48,VP21999w,1,14,both,0.5,left,left,0.25,1.37529219773,0.800170005952,left,1.795
2018-11-09-12-12-48,VP21999w,1,15,probe,0,right,left,0.25,0.700148755208,0,left,0.474
2018-11-09-12-12-48,VP21999w,1,16,both,0,right,right,0.25,1.15857948778,0.841845527096,down,3.386
2018-11-09-12-12-48,VP21999w,1,17,probe,0,left,right,1,1.11690396664,0,right,0.533
2018-11-09-12-12-48,VP21999w,1,18,both,0,left,left,1,1.21692521739,0.866850839782,left,1.142
