Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-30-12-18-48,VP171996m,1,1,probe,0,left,right,2,1.39113704986,0,left,0.446
2018-11-30-12-18-48,VP171996m,1,2,both,0,left,right,2,1.37447672591,0.724724091843,up,1.534
2018-11-30-12-18-48,VP171996m,1,3,probe,0.25,right,right,1,0.932978141223,0,right,0.432
2018-11-30-12-18-48,VP171996m,1,4,both,0.25,right,left,1,0.774705063694,0.882997169372,up,0.682
2018-11-30-12-18-48,VP171996m,1,5,probe,1,right,left,0.5,1.49942915554,0,right,0.722
2018-11-30-12-18-48,VP171996m,1,6,both,1,right,left,0.5,1.11624170468,0.749714577769,up,0.681
2018-11-30-12-18-48,VP171996m,1,7,probe,1,left,left,2,1.23286397233,0,left,0.462
2018-11-30-12-18-48,VP171996m,1,8,both,1,left,right,2,0.833016197521,0.899657493323,up,0.586
2018-11-30-12-18-48,VP171996m,1,9,probe,0,right,right,0.25,1.05793057085,0,right,0.715
2018-11-30-12-18-48,VP171996m,1,10,both,0,right,left,0.25,1.34948623998,0.899657493323,up,0.633
2018-11-30-12-18-48,VP171996m,1,11,probe,1,right,left,0.25,0.808025711595,0,right,0.528
2018-11-30-12-18-48,VP171996m,1,12,both,1,right,left,0.25,1.19121316245,0.833016197521,left,0.921
2018-11-30-12-18-48,VP171996m,1,13,probe,0.25,left,left,1,0.791365387645,0,left,0.466
2018-11-30-12-18-48,VP171996m,1,14,both,0.25,left,right,1,1.33282591603,0.766374901719,up,0.588
2018-11-30-12-18-48,VP171996m,1,15,probe,0.25,left,right,0.5,1.007949599,0,left,0.483
2018-11-30-12-18-48,VP171996m,1,16,both,0.25,left,right,0.5,1.19121316245,0.791365387645,up,0.766
2018-11-30-12-18-48,VP171996m,1,17,probe,0,right,right,0.5,1.09125121875,0,right,0.513
2018-11-30-12-18-48,VP171996m,1,18,both,0,right,left,0.5,0.716393929868,0.733054253818,up,0.692
2018-11-30-12-18-48,VP171996m,1,19,probe,0.5,right,left,2,1.40779737381,0,right,1.086
2018-11-30-12-18-48,VP171996m,1,20,both,0.5,right,left,2,0.824686035546,0.733054253818,up,0.615
2018-11-30-12-18-48,VP171996m,1,21,probe,0,left,left,0.25,1.16622267653,0,left,0.655
2018-11-30-12-18-48,VP171996m,1,22,both,0,left,right,0.25,1.25785445826,0.766374901719,up,1.123
2018-11-30-12-18-48,VP171996m,1,23,probe,0,right,right,2,0.941308303199,0,right,1.865
2018-11-30-12-18-48,VP171996m,1,24,both,0,right,left,2,0.816355873571,0.774705063694,up,0.702
2018-11-30-12-18-48,VP171996m,1,25,probe,0,left,left,0.5,1.49942915554,0,left,0.574
2018-11-30-12-18-48,VP171996m,1,26,both,0,left,right,0.5,1.41612753579,0.833016197521,up,0.968
2018-11-30-12-18-48,VP171996m,1,27,probe,1,right,right,2,1.19121316245,0,right,0.599
2018-11-30-12-18-48,VP171996m,1,28,both,1,right,left,2,1.36614656393,0.741384415794,left,0.935
2018-11-30-12-18-48,VP171996m,1,29,probe,0.5,right,left,0.5,1.42445769776,0,right,0.615
2018-11-30-12-18-48,VP171996m,1,30,both,0.5,right,left,0.5,1.39113704986,0.749714577769,left,0.339
2018-11-30-12-18-48,VP171996m,1,31,probe,0.5,left,left,2,1.0412702469,0,left,0.289
2018-11-30-12-18-48,VP171996m,1,32,both,0.5,left,right,2,1.29117510616,0.791365387645,up,0.598
2018-11-30-12-18-48,VP171996m,1,33,probe,1,left,right,0.5,0.824686035546,0,left,0.42
2018-11-30-12-18-48,VP171996m,1,34,both,1,left,right,0.5,0.79969554962,0.733054253818,up,0.584
2018-11-30-12-18-48,VP171996m,1,35,probe,0.5,left,right,1,1.28284494418,0,left,0.546
2018-11-30-12-18-48,VP171996m,1,36,both,0.5,left,right,1,0.907987655298,0.724724091843,up,0.583
2018-11-30-12-18-48,VP171996m,1,37,probe,0.25,left,right,0.25,1.23286397233,0,left,0.476
2018-11-30-12-18-48,VP171996m,1,38,both,0.25,left,right,0.25,1.48276883159,0.791365387645,up,0.549
2018-11-30-12-18-48,VP171996m,1,39,probe,0.5,right,right,0.25,1.23286397233,0,right,1.144
2018-11-30-12-18-48,VP171996m,1,40,both,0.5,right,left,0.25,1.21620364838,0.774705063694,left,0.766
2018-11-30-12-18-48,VP171996m,1,41,probe,0.25,right,left,0.5,1.36614656393,0,right,0.503
2018-11-30-12-18-48,VP171996m,1,42,both,0.25,right,left,0.5,1.13290202863,0.774705063694,left,0.509
2018-11-30-12-18-48,VP171996m,1,43,probe,0.25,right,left,0.25,1.19121316245,0,left,0.358
2018-11-30-12-18-48,VP171996m,1,44,both,0.25,right,right,0.25,1.24119413431,0.833016197521,right,0.605
2018-11-30-12-18-48,VP171996m,1,45,probe,0.5,left,right,0.25,0.758044739744,0,left,0.374
2018-11-30-12-18-48,VP171996m,1,46,both,0.5,left,right,0.25,1.33282591603,0.841346359496,up,0.589
2018-11-30-12-18-48,VP171996m,1,47,probe,0.25,left,right,2,0.924647979248,0,left,0.549
2018-11-30-12-18-48,VP171996m,1,48,both,0.25,left,right,2,1.12457186665,0.699733605918,up,0.407
2018-11-30-12-18-48,VP171996m,1,49,probe,0,left,right,1,0.758044739744,0,left,0.677
2018-11-30-12-18-48,VP171996m,1,50,both,0,left,right,1,1.0745908948,0.891327331347,left,0.36
2018-11-30-12-18-48,VP171996m,1,51,probe,0.5,left,right,0.5,0.924647979248,0,left,0.476
2018-11-30-12-18-48,VP171996m,1,52,both,0.5,left,right,0.5,1.08292105678,0.866336845422,up,0.883
2018-11-30-12-18-48,VP171996m,1,53,probe,1,left,right,0.25,1.32449575406,0,left,0.557
2018-11-30-12-18-48,VP171996m,1,54,both,1,left,right,0.25,1.34948623998,0.741384415794,up,1.072
2018-11-30-12-18-48,VP171996m,1,55,probe,0.5,right,right,1,0.79969554962,0,right,0.671
2018-11-30-12-18-48,VP171996m,1,56,both,0.5,right,left,1,0.733054253818,0.849676521471,up,0.416
2018-11-30-12-18-48,VP171996m,1,57,probe,1,left,left,1,0.849676521471,0,left,0.741
2018-11-30-12-18-48,VP171996m,1,58,both,1,left,right,1,1.45777834566,0.841346359496,up,0.767
2018-11-30-12-18-48,VP171996m,1,59,probe,0.25,right,right,2,1.45777834566,0,right,0.926
2018-11-30-12-18-48,VP171996m,1,60,both,0.25,right,left,2,1.04960040888,0.741384415794,up,0.549
